asset_id,package_path,source_path,status,notes
Figure1,papers/V14（整合）/figures/main/Figure1.png,analysis/stage17_methodology_figs/example_outputs/fig1_stage17_geometry_workflow.png,CURRENT_STAGE17,"Current stage17 workflow figure; pdf/png/tiff copied"
Figure2,papers/V14（整合）/figures/main/Figure2.png,papers/V13/CMBBE_figure_upload/Figure2.png,LEGACY_REFERENCE,"Retained legacy fixed-power reference figure"
Figure3,papers/V14（整合）/figures/main/Figure3.png,analysis/stage17_methodology_figs/example_outputs/fig_stage17_deterministic_fourway.png,CURRENT_STAGE17,"Current stage17 deterministic four-way figure; pdf/png/tiff copied"
Figure4,papers/V14（整合）/figures/main/Figure4.png,analysis/stage17_methodology_figs/example_outputs/fig4_stage17_verification.png,CURRENT_STAGE17,"Current stage17-native verification figure; pdf/png/tiff copied"
Figure5,papers/V14（整合）/figures/main/Figure5.png,analysis/stage17_methodology_figs/example_outputs/fig5_depth_fraction_fixed_vs_controlled.png,CURRENT_STAGE17,"Current stage17 comparator map; pdf/png/tiff copied"
Figure6,papers/V14（整合）/figures/main/Figure6.png,analysis/stage17_methodology_figs/example_outputs/fig6_peak_temperature_fixed_vs_controlled.png,CURRENT_STAGE17,"Current stage17 comparator map; pdf/png/tiff copied"
Figure7,papers/V14（整合）/figures/main/Figure7.png,analysis/stage17_methodology_figs/example_outputs/fig7_controlled_minus_fixed_maps.png,CURRENT_STAGE17,"Current stage17 difference-map figure; pdf/png/tiff copied"
Figure8,papers/V14（整合）/figures/main/Figure8.png,papers/V13/CMBBE_figure_upload/Figure8.png,LEGACY_REFERENCE,"Retained benchmark packaging figure outside stage17 authority lock"
FigureS1,papers/V14（整合）/figures/supplement/FigureS1.png,manuscript/submission_package/supp_png_preview/figS1_depth_fraction_p50_maps.png,LEGACY_REFERENCE,"Retained supplementary legacy/reference figure"
FigureS2,papers/V14（整合）/figures/supplement/FigureS2.png,manuscript/submission_package/supp_png_preview/figS2_tradeoff_ptrans_pover.png,LEGACY_REFERENCE,"Retained supplementary legacy/reference figure"
Table1_export,papers/V14（整合）/tables/table1_stage17_protocols.csv,tmp/table_exports/table1_stage17_protocols.csv,CURRENT_STAGE17,"Current stage17 table export"
Table2_export,papers/V14（整合）/tables/table2_stage17_controls.csv,tmp/table_exports/table2_stage17_controls.csv,CURRENT_STAGE17,"Current stage17 table export"
Table2_methods,papers/V14（整合）/tables/TABLE2_FINAL_METHODS_WORDING.md,TABLE2_FINAL_METHODS_WORDING.md,CURRENT_METHODS_NOTE,"Final manuscript-facing Methods wording for Table 2"
Table3_trace,papers/V14（整合）/tables/table3_benchmark_trace.csv,tmp/table_exports/table3_benchmark_trace.csv,CURRENT_TRACE_WITH_HISTORICAL_WIDTH,"Benchmark trace export; simulated widths remain historical-trace only"
Table3_methods,papers/V14（整合）/tables/TABLE3_METHODS_SCOPE.md,TABLE3_METHODS_SCOPE.md,CURRENT_METHODS_NOTE,"Methods-safe benchmark scope note"
Table3_depth_only,papers/V14（整合）/tables/table3_depth_only.csv,table3_depth_only.csv,CURRENT_METHODS_SAFE_EXPORT,"Depth-only benchmark export suitable for Methods-safe benchmark description"
Manuscript_docx,papers/V14（整合）/CMBBE_RF_ablation_reduced_model_main.docx,papers/V14（整合）/CMBBE_RF_ablation_reduced_model_main.docx,EXISTING_PACKAGE_FILE,"Pre-existing file in V14 package root; not overwritten by this integration step"
