manuscript_item,item_type,manuscript_title,packaged_output_path,packaged_artifact_tag,generating_script_path,generating_script_tag,source_data_files,simulation_case_or_config,likely_run_command,regeneration_status,currently_regenerable_from_repo,legacy_code_path,drift_flag,notes
"Figure 1","figure","Reduced 2D model geometry and workflow","manuscript/figures/main/fig1_model_workflow.{pdf,png,tiff}; papers/V13/CMBBE_figure_upload/Figure1.png","DELIVERY_ONLY","analysis/stage8_finish_ready/src/make_fig1_model_workflow.py","LEGACY","NOT REQUIRED (schematic script)","Legacy three-protocol workflow schematic; current alternative exists at analysis/stage17_methodology_figs/src/make_fig1_stage17_workflow.py","cd analysis/stage8_finish_ready && bash run_make_figures.sh","fully_automated","YES","YES","YES","manuscript/figures/main/fig1_model_workflow.png is byte-identical to manuscript/figures/source_exports/stage8_finish_ready/example_outputs/fig1_model_workflow.png. Legacy script text includes blood pool, perfusion, and probability maps; current stage17 schematic explicitly says no explicit blood subdomain and perfusion fixed at zero."
"Figure 2","figure","Representative spatial fields for the baseline fixed-power formulation","manuscript/figures/main/fig2_representative_fields.{pdf,png,tiff}; papers/V13/CMBBE_figure_upload/Figure2.png","DELIVERY_ONLY","analysis/stage8_finish_ready/src/make_fig2_representative_fields.py","LEGACY","simulation/stage3_uq_maps/src/model_fd.py; simulation/stage3_uq_maps/configs/baseline_50W_10s_4mm.yaml; simulation/stage3_uq_maps/configs/protocols.yaml","Representative deterministic case hard-coded by defaults in plotting script: wall=4.0 mm; cooling=1500 W m^-2 K^-1; insertion=1.0 mm; protocols standard_30W_30s, hpsd_50W_10s, vhpsd_90W_4s","cd analysis/stage8_finish_ready && bash run_make_figures.sh","fully_automated","YES","YES","YES","manuscript/figures/main/fig2_representative_fields.png is byte-identical to manuscript/figures/source_exports/stage8_finish_ready/example_outputs/fig2_representative_fields.png. No stage17-native Figure 2 generator was located."
"Figure 3","figure","Deterministic four-way comparison across representative wall-thickness, insertion-depth, and cooling slices","manuscript/figures/main/fig3_deterministic_summary.{pdf,png,tiff}; papers/V13/CMBBE_figure_upload/Figure3.png","DELIVERY_ONLY","analysis/stage7_freeze_final/src/make_figures.py","LEGACY","analysis/stage7_freeze_final/example_data/phase_prep_summary.csv; candidate live input: simulation/stage3_uq_maps/outputs/phase_prep/phase_prep_summary.csv","Legacy three-protocol deterministic summary based on standard_30W_30s, hpsd_50W_10s, vhpsd_90W_4s; current stage17 alternative exists at analysis/stage17_methodology_figs/src/make_stage17_deterministic.py with output fig_stage17_deterministic_fourway","cd analysis/stage7_freeze_final && bash run_make_figures.sh","fully_automated","YES","YES","YES","manuscript/figures/main/fig3_deterministic_summary.png is byte-identical to manuscript/figures/source_exports/stage7_freeze_final/example_outputs/fig3_deterministic_summary.png. Current manuscript caption describes a four-way stage17 comparison, but packaged Figure 3 is a legacy three-protocol figure with different panel semantics."
"Figure 4","figure","Grid and time-step verification for the baseline nominal case","manuscript/figures/main/fig4_verification.{pdf,png,tiff}; papers/V13/CMBBE_figure_upload/Figure4.png","DELIVERY_ONLY","analysis/stage7_freeze_final/src/make_figures.py","LEGACY","analysis/stage7_freeze_final/example_data/grid_convergence.csv; analysis/stage7_freeze_final/example_data/dt_convergence.csv; candidate live inputs: simulation/stage3_uq_maps/outputs/convergence/grid_convergence.csv and simulation/stage3_uq_maps/outputs/convergence/dt_convergence.csv","Legacy verification plot for fixed-power three-protocol line; candidate current data exist at simulation/stage17_controlled_rebuild/outputs/convergence/*.csv but no dedicated stage17-native Figure 4 plotting script was located","cd analysis/stage7_freeze_final && bash run_make_figures.sh","fully_automated","YES","YES","PARTIAL","manuscript/figures/main/fig4_verification.png is byte-identical to manuscript/figures/source_exports/stage7_freeze_final/example_outputs/fig4_verification.png. The figure is reproducible from legacy code, but the current stage17 manuscript line does not have a clean dedicated Figure 4 generator."
"Figure 5","figure","Depth-fraction maps for fixed-power and generic temperature-limited 90 W / 4 s across the phase-preparation grid","manuscript/figures/main/fig5_transmural_probability_maps.{pdf,png,tiff}; papers/V13/CMBBE_figure_upload/Figure5.png","DELIVERY_ONLY","analysis/stage7_freeze_final/src/make_figures.py","LEGACY","analysis/stage7_freeze_final/example_data/uq_summary.csv; candidate live input: simulation/stage3_uq_maps/outputs/uq_fast/uq_summary.csv","Legacy three-protocol UQ matrix using transmural_probability. Current stage17 alternative exists at analysis/stage17_methodology_figs/src/make_phase_map_figures.py and expects simulation/stage17_controlled_rebuild/outputs/phase_prep_stage17_fourway/phase_prep_summary.csv","cd analysis/stage7_freeze_final && bash run_make_figures.sh","fully_automated","YES","YES","YES","manuscript/figures/main/fig5_transmural_probability_maps.png is byte-identical to manuscript/figures/source_exports/stage7_freeze_final/example_outputs/fig5_transmural_probability_maps.png. Current manuscript caption describes deterministic depth-fraction maps for fixed vs temperature-limited 90 W / 4 s, which does not match the packaged legacy probability figure."
"Figure 6","figure","Peak-temperature maps for fixed-power and generic temperature-limited 90 W / 4 s across the phase-preparation grid","manuscript/figures/main/fig6_overheat_probability_maps.{pdf,png,tiff}; papers/V13/CMBBE_figure_upload/Figure6.png","DELIVERY_ONLY","analysis/stage7_freeze_final/src/make_figures.py","LEGACY","analysis/stage7_freeze_final/example_data/uq_summary.csv; candidate live input: simulation/stage3_uq_maps/outputs/uq_fast/uq_summary.csv","Legacy three-protocol UQ matrix using overheat_probability. Current stage17 alternative exists at analysis/stage17_methodology_figs/src/make_phase_map_figures.py and expects simulation/stage17_controlled_rebuild/outputs/phase_prep_stage17_fourway/phase_prep_summary.csv","cd analysis/stage7_freeze_final && bash run_make_figures.sh","fully_automated","YES","YES","YES","manuscript/figures/main/fig6_overheat_probability_maps.png is byte-identical to manuscript/figures/source_exports/stage7_freeze_final/example_outputs/fig6_overheat_probability_maps.png. Current manuscript caption describes deterministic peak-temperature maps for fixed vs temperature-limited 90 W / 4 s, not the packaged legacy overheat-probability figure."
"Figure 7","figure","Controlled-minus-fixed difference maps for 90 W / 4 s across the phase-preparation grid","manuscript/figures/main/fig7_tradeoff_depthrisk.{pdf,png,tiff}; papers/V13/CMBBE_figure_upload/Figure7.png","DELIVERY_ONLY","analysis/stage7_freeze_final/src/make_figures.py","LEGACY","analysis/stage7_freeze_final/example_data/uq_summary.csv; candidate live input: simulation/stage3_uq_maps/outputs/uq_fast/uq_summary.csv","Legacy three-protocol scatter using depth_fraction_p50 vs overheat_probability. Current stage17 alternative exists at analysis/stage17_methodology_figs/src/make_phase_map_figures.py and expects simulation/stage17_controlled_rebuild/outputs/phase_prep_stage17_fourway/phase_prep_summary.csv","cd analysis/stage7_freeze_final && bash run_make_figures.sh","fully_automated","YES","YES","YES","manuscript/figures/main/fig7_tradeoff_depthrisk.png is byte-identical to manuscript/figures/source_exports/stage7_freeze_final/example_outputs/fig7_tradeoff_depthrisk.png. Current manuscript caption describes controlled-minus-fixed difference maps, but packaged Figure 7 is a legacy trade-off scatter."
"Figure 8","figure","Reference literature-derived benchmark of lesion-depth trends","manuscript/figures/main/fig8_literature_benchmark.{pdf,png,tiff}; papers/V13/CMBBE_figure_upload/Figure8.png","DELIVERY_ONLY","manuscript/scripts/make_fig8_final.py","CURRENT","analysis/stage8_finish_ready/example_data/benchmark_points.csv; candidate variant manuscript/example_data/benchmark_points_v2.csv; historical width-complete candidates papers/V6/tables/source_csv/benchmark_points_v3.csv and papers/V7/tables/source_csv/benchmark_points_v3.csv","Three fixed-power benchmark protocols only: standard_30W_30s, hpsd_50W_10s, vhpsd_90W_4s; benchmark does not distinguish fixed vs temperature-limited 90 W / 4 s","cd manuscript/scripts && bash run_stage12.sh","partially_manual","PARTIAL","PARTIAL","PARTIAL","manuscript/figures/main/fig8_literature_benchmark.png is not byte-identical to the legacy stage8 export, consistent with a later regeneration path. However, current Table 3 width values align with historical benchmark_points_v3.csv, while the default benchmark CSV used by make_fig8_final.py has blank simulated_width_mm cells."
"Figure S1","figure","Reference depth-fraction maps from the fixed-power three-protocol formulation","manuscript/figures/supplement/figS1_depth_fraction_p50_maps.{pdf,png,tiff}; manuscript/submission_package/supp_*/*","DELIVERY_ONLY","analysis/stage7_freeze_final/src/make_figures.py","LEGACY","analysis/stage7_freeze_final/example_data/uq_summary.csv; candidate live input: simulation/stage3_uq_maps/outputs/uq_fast/uq_summary.csv","Legacy three-protocol UQ figure using depth_fraction_p50","cd analysis/stage7_freeze_final && bash run_make_figures.sh","fully_automated","YES","YES","NO","manuscript/submission_package/supp_png_preview/figS1_depth_fraction_p50_maps.png is byte-identical to manuscript/figures/source_exports/stage7_freeze_final/example_outputs/figS1_depth_fraction_p50_maps.png. Current manuscript explicitly labels this figure as a reference legacy supplement."
"Figure S2","figure","Reference trade-off summary from the fixed-power three-protocol formulation","manuscript/figures/supplement/figS2_tradeoff_ptrans_pover.{pdf,png,tiff}; manuscript/submission_package/supp_*/*","DELIVERY_ONLY","analysis/stage7_freeze_final/src/make_figures.py","LEGACY","analysis/stage7_freeze_final/example_data/uq_summary.csv; candidate live input: simulation/stage3_uq_maps/outputs/uq_fast/uq_summary.csv","Legacy three-protocol UQ supplementary scatter using transmural_probability vs overheat_probability","cd analysis/stage7_freeze_final && bash run_make_figures.sh","fully_automated","YES","YES","NO","manuscript/submission_package/supp_png_preview/figS2_tradeoff_ptrans_pover.png is byte-identical to manuscript/figures/source_exports/stage7_freeze_final/example_outputs/figS2_tradeoff_ptrans_pover.png. Current manuscript explicitly labels this figure as a reference legacy supplement."
