category,file_path,case_name,parameters_varied,output_metrics,manuscript_support,completeness,current_status,companion_files,notes
"verification","simulation/stage1_deterministic/src/run_convergence.py; simulation/stage1p5_contact/src/run_convergence.py; simulation/stage2_phase_ready/src/run_convergence.py; simulation/stage3_uq_maps/src/run_convergence.py; simulation/stage16_uq_metrics_ready/src/run_convergence.py","Legacy grid/time-step convergence family","nx, ny grid size (201x101 / 281x141 / 361x181 baseline family); dt_s (0.10 / 0.05 / 0.025)","lesion_depth_mm; depth_fraction; transmural; overheat_area_mm2; peak_temperature_C; later stages also lesion_width_mm; lesion_area_mm2; depth_to_width_ratio","NO","COMPLETE","LEGACY","configs/convergence.yaml and outputs/convergence/grid_convergence.csv + dt_convergence.csv in each listed stage","The same convergence workflow is preserved across multiple historical stages; stage16 is the width/area-extended frozen baseline."
"verification","simulation/stage17_controlled_rebuild/outputs/convergence/grid_convergence.csv; simulation/stage17_controlled_rebuild/outputs/convergence/dt_convergence.csv","Stage17 legacy-style convergence artifact","nx, ny; dt_s","lesion_depth_mm; lesion_width_mm; lesion_area_mm2; depth_to_width_ratio; depth_fraction; peak_temperature_C; delivered_energy_J; mean_applied_power_W","PARTIAL","PARTIAL","AMBIGUOUS","simulation/stage17_controlled_rebuild/src/run_convergence.py; simulation/stage17_controlled_rebuild/configs/convergence.yaml","Present in the current stage17 outputs tree, but the observed raw values correspond to a non-controller, no-latency legacy-style baseline rather than the current controlled+latency comparator-aware claim."
"verification","simulation/stage17_controlled_rebuild/outputs/convergence_stage17_controlled_check/grid_convergence.csv; simulation/stage17_controlled_rebuild/outputs/convergence_stage17_controlled_check/dt_convergence.csv","Stage17 controlled+latency convergence check","nx, ny; dt_s under selected controller and 8 s latency","lesion_depth_mm; lesion_width_mm; lesion_area_mm2; depth_to_width_ratio; depth_fraction; peak_temperature_C; delivered_energy_J; mean_applied_power_W","YES","PARTIAL","CURRENT","simulation/stage17_controlled_rebuild/src/run_convergence.py; simulation/stage17_controlled_rebuild/configs/convergence.yaml; simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml; simulation/stage17_controlled_rebuild/configs/latency_enabled.yaml","This is the strongest current verification artifact for the stage17 manuscript line, but the canonical README/output path outputs/convergence_stage17_controlled/ was not found in the workspace; the observed artifact is a *_check directory."
"parameter_scan","simulation/stage17_controlled_rebuild/outputs/phase_prep_stage17_fourway/phase_prep_summary.csv","Stage17 four-way phase-preparation sweep","wall_thickness_mm (5 levels); cooling_h_W_per_m2K (3 levels); insertion_depth_mm (4 levels); protocol/comparator (4 levels)","lesion_depth_mm; lesion_width_mm; lesion_area_mm2; depth_fraction; transmural; overheat_area_mm2; peak_temperature_C; delivered_energy_J; mean_applied_power_W","YES","COMPLETE","CURRENT","simulation/stage17_controlled_rebuild/src/run_phase_prep.py; simulation/stage17_controlled_rebuild/configs/phase_prep_stage17_fourway.yaml; simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml; simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml; simulation/stage17_controlled_rebuild/configs/latency_enabled.yaml","This is deterministic parameter-sweep evidence, not a formal sensitivity analysis, but it directly underpins the current comparator-aware map results."
"sensitivity_like","simulation/stage17_controlled_rebuild/outputs/wall_scan_stage17_fourway/wall_protocol_summary.csv; simulation/stage17_controlled_rebuild/outputs/cooling_scan_stage17_fourway/cooling_protocol_summary.csv; simulation/stage17_controlled_rebuild/outputs/contact_scan_stage17_fourway/contact_protocol_summary.csv","Stage17 wall/cooling/contact scan families","wall_thickness_mm; cooling_h_W_per_m2K; insertion_depth_mm","lesion_depth_mm; lesion_width_mm; lesion_area_mm2; depth_fraction; transmural; overheat_area_mm2; peak_temperature_C; delivered_energy_J; mean_applied_power_W","PARTIAL","PARTIAL","CURRENT","simulation/stage17_controlled_rebuild/src/run_wall_protocol_scan.py; simulation/stage17_controlled_rebuild/src/run_cooling_protocol_scan.py; simulation/stage17_controlled_rebuild/src/run_contact_scan.py; configs/wall_scan_stage17.yaml; configs/cooling_scan_stage17.yaml; configs/contact_scan_stage17.yaml","These are targeted deterministic sweeps used for slice-style comparisons. They vary important parameters, but no local/global sensitivity summary or uncertainty attribution was found."
"comparator_check","simulation/stage17_controlled_rebuild/outputs/protocol_scan/vhpsd_90W_4s/summary.yaml; simulation/stage17_controlled_rebuild/outputs/protocol_scan_stage17_fourway/vhpsd_90W_4s_fixed/summary.yaml","Stage17 post-pulse latency contrast for fixed 90 W / 4 s","latency_enabled false vs true; post_pulse_duration_s 0 vs 8","lesion_depth_mm; lesion_area_mm2; peak_temperature_C; delivered_energy_J; mean_applied_power_W","YES","PARTIAL","CURRENT","simulation/stage17_controlled_rebuild/src/latency.py; simulation/stage17_controlled_rebuild/configs/latency.yaml; simulation/stage17_controlled_rebuild/configs/latency_enabled.yaml","This pair reproduces the manuscript's latency-effect comparison, but no dedicated automation or summary table for the contrast was found."
"comparator_check","simulation/stage17_controlled_rebuild/outputs/smoke_fixed_stage17/summary.yaml; simulation/stage17_controlled_rebuild/outputs/smoke_controlled_stage17/summary.yaml","Stage17 fixed-vs-temperature-limited baseline contrast","controller enabled false vs true under common 8 s latency","lesion_depth_mm; lesion_width_mm; lesion_area_mm2; peak_temperature_C; delivered_energy_J; mean_applied_power_W","YES","PARTIAL","CURRENT","simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml; simulation/stage17_controlled_rebuild/configs/latency_enabled.yaml; simulation/stage17_controlled_rebuild/run_fixed_smoke.sh; simulation/stage17_controlled_rebuild/run_controlled_smoke.sh","This directly supports the current baseline comparator claim, but it is still a paired summary-file comparison rather than a formal sensitivity study."
"uncertainty","simulation/stage16_uq_metrics_ready/outputs/uq_paper/uq_summary.csv; simulation/stage16_uq_metrics_ready/outputs/uq_paper/uq_samples.csv; simulation/stage16_uq_metrics_ready/outputs/uq_paper/uq_overview.csv","Stage16 paper-level uncertainty maps","insertion_depth_mm and cooling_h_W_per_m2K sampled around nominal cells; 64 samples per cell","transmural_probability; transmural_probability_ci_low/high; overheat_probability; overheat_probability_ci_low/high; depth_fraction quantiles; lesion_depth_mean_mm; lesion_width_mean_mm; lesion_area_mean_mm2; tmax stats","PARTIAL","COMPLETE","FROZEN_BASELINE","simulation/stage16_uq_metrics_ready/src/run_uq_maps.py; simulation/stage16_uq_metrics_ready/configs/uq_paper.yaml; simulation/stage16_uq_metrics_ready/run_uq_paper.sh","This is the strongest uncertainty-analysis evidence in the repository, but it belongs to the frozen three-protocol line, not the current four-way stage17 comparator-aware line."
"uncertainty","analysis/stage16_revision_figs/example_outputs/figS3_probability_ci_halfwidths.png","Wilson CI half-width summary figure","derived from Wilson confidence intervals across all nominal UQ cells","half-width distributions for transmural_probability and overheat_probability confidence intervals","PARTIAL","COMPLETE","LEGACY","analysis/stage16_revision_figs/src/make_revision_assets.py; simulation/stage16_uq_metrics_ready/outputs/uq_paper/uq_summary.csv","This is the main repository artifact supporting uncertainty-interval stability claims. It is legacy supplementary evidence rather than current four-way manuscript evidence."
"uncertainty","simulation/stage3_uq_maps/outputs/uq_fast/uq_summary.csv; simulation/stage3_uq_maps/outputs/uq_fast/uq_overview.csv","Stage3 fast uncertainty maps","insertion_depth_mm and cooling_h_W_per_m2K sampled around nominal cells; low-sample fast mode","transmural_probability; overheat_probability; depth_fraction quantiles","NO","EXPLORATORY","LEGACY","simulation/stage3_uq_maps/src/run_uq_maps.py; simulation/stage3_uq_maps/configs/uq_fast.yaml; simulation/stage3_uq_maps/README.md","Stage3 README explicitly frames uq_fast as quick local testing before paper-level maps."
