status,item_id,manuscript_section,file_path,symbol_variable,exact_value,unit,manuscript_explicit,recommended_action,notes
FOUND,dimensional_form,"2.1 Reduced two-dimensional electro-thermal lesion model; 2.2 Geometry and computational domain","simulation/stage17_controlled_rebuild/src/model_fd.py; analysis/stage17_methodology_figs/src/make_fig1_stage17_workflow.py","make_grid; assemble_potential_system; assemble_heat_stepper","Planar Cartesian x-y cross-sectional grid; x spans [-width/2,+width/2], y spans [0, wall_thickness + bottom_buffer]; no axisymmetric terms or rotational factors are present","N/A",AMBIGUOUS,REVISE,"The manuscript says reduced two-dimensional cross-sectional model, but does not state planar Cartesian form explicitly."
FOUND,blood_subdomain_representation,"2.1 Reduced two-dimensional electro-thermal lesion model; 2.3 Boundary and initial conditions; Figure 1 caption","simulation/stage17_controlled_rebuild/src/model_fd.py; analysis/stage17_methodology_figs/src/make_fig1_stage17_workflow.py; papers/V13/CMBBE_RF_ablation_reduced_model_main.docx","top_h_profile; Figure 1 text","No explicit blood subdomain in the current stage17 implementation; cooling enters through the effective top Robin boundary profile","N/A",NO,REVISE,"Current manuscript wording still refers to an adjacent blood-pool boundary and Figure 1 caption still says blood-pool boundary."
FOUND,domain_dimensions,"2.2 Geometry and computational domain","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml","width_mm; wall_thickness_mm; bottom_buffer_mm; electrode_width_mm","width_mm = 18.0; baseline wall_thickness_mm = 4.0; bottom_buffer_mm = 4.0; electrode_width_mm = 2.0","mm",YES,LEAVE_UNCHANGED,"The manuscript already states the 18 mm width, 4 mm lower buffer, and 2 mm footprint, with wall thickness varied from 2 to 6 mm."
FOUND,power_mapping_scale,"2.1 Reduced two-dimensional electro-thermal lesion model; 2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","power_per_depth_scale_W_per_m_per_W; regularize_and_scale_heat_source","power_per_depth_scale_W_per_m_per_W = 6.8; q = scale * power_W * contact_scale * q_reg / total_per_depth","W m^-1 per applied W; final q in W m^-3",AMBIGUOUS,REVISE,"The manuscript mentions a calibrated source-amplitude coefficient per applied watt, but the current dimensional closure of q and the per-depth interpretation are not explicit enough."
FOUND,q_unit_construction,"2.1 Reduced two-dimensional electro-thermal lesion model","simulation/stage17_controlled_rebuild/src/model_fd.py","compute_unit_heat; q_unit","q_unit = sigma_S_per_m * (dphi_dx**2 + dphi_dy**2)","W m^-3",YES,LEAVE_UNCHANGED,"The manuscript already states that a unit-potential solution is obtained first and that the corresponding unit Joule source is computed."
NOT_FOUND,q_reg_closed_form,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/src/model_fd.py","q_reg","NOT FOUND","NOT FOUND",NO,ADD,"The current implementation does not expose an analytic closed-form q_reg(x,y); q_reg remains algorithmic."
FOUND,q_reg_regularization,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","source_smoothing_mm; gaussian_filter","source_smoothing_mm = 0.20; q_reg = gaussian_filter(q_unit, sigma=(sigma_y, sigma_x), mode='nearest') when smoothing is enabled","mm for source_smoothing_mm",AMBIGUOUS,REVISE,"The current source regularization is Gaussian and algorithmic; this should be stated explicitly if reproducibility is intended."
FOUND,source_shift_rule,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","source_shift_per_mm_insertion; shift_m; shift_source_in_depth","source_shift_per_mm_insertion = 0.25; shift_m = source_shift_per_mm_insertion * insertion_depth_mm * 1e-3","mm shift per mm insertion",AMBIGUOUS,REVISE,"In current code the shift depends on absolute insertion_depth_mm, not on insertion depth relative to reference_insertion_mm."
FOUND,source_normalization,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/src/model_fd.py","total_per_depth","total_per_depth = sum(q_reg) * dx * dy; final q is normalized by total_per_depth before power/contact scaling","total_per_depth in W m^-1",NO,ADD,"This normalization step is critical to source reconstruction and is not explicit in current manuscript prose."
FOUND,contact_power_gain,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","contact_power_gain_per_mm; reference_insertion_mm; contact_scale","contact_power_gain_per_mm = 0.16; reference_insertion_mm = 1.0; contact_scale = max(0.5, 1.0 + 0.16 * (insertion_depth_mm - 1.0))","mm^-1 for gain; mm for reference depth; scale dimensionless",AMBIGUOUS,REVISE,"The manuscript states that contact modifies source strength, but the exact current coefficient values and lower clamp are not explicit enough."
