audit_item,status,code_symbol,file_path,function_or_class,parameter_value,unit,plain_english_interpretation,manuscript_explicit,audit_note
"base_reduced_rf_source_q_reg_equivalent","FOUND","q_unit; q_reg","simulation/stage17_controlled_rebuild/src/model_fd.py","compute_unit_heat; regularize_and_scale_heat_source","q_unit = sigma_S_per_m * (dphi_dx**2 + dphi_dy**2); q_reg = gaussian_filter(q_unit, sigma=(sigma_y, sigma_x), mode=""nearest"") when smoothing is enabled","W m^-3 before normalization","The current reduced source is generated from a unit-potential Joule-heating field and then Gaussian-smoothed before later scaling and shifting.","NO","Implementation-equivalent source found in code; it is algorithmic rather than a standalone analytic function."
"analytic_closed_form_q_reg_formula","NOT FOUND","q_reg","simulation/stage17_controlled_rebuild/src/model_fd.py","regularize_and_scale_heat_source","NOT FOUND","NOT FOUND","No separate analytic function for q_reg(x,y) was found in the current implementation.","NO","The current code constructs q_reg procedurally from q_unit; it does not expose a closed-form source kernel."
"contact_dependent_power_scaling","FOUND","contact_scale; contact_power_gain_per_mm; reference_insertion_mm","simulation/stage17_controlled_rebuild/src/model_fd.py; simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml","regularize_and_scale_heat_source; CaseConfig","contact_scale = max(0.5, 1.0 + contact_power_gain_per_mm * (insertion_depth_mm - reference_insertion_mm)); contact_power_gain_per_mm = 0.16; reference_insertion_mm = 1.0","Scale is dimensionless; gain is mm^-1; reference depth is mm","Deeper insertion increases source amplitude; lower insertion can reduce it, with a hard lower clamp at 0.5.","AMBIGUOUS","The manuscript indicates a contact-gain factor exists, but the exact current coefficient values are not recoverable cleanly from text extraction. No explicit upper clamp was found in code."
"source_shift_with_insertion_depth","FOUND","source_shift_per_mm_insertion; shift_m; shift_source_in_depth","simulation/stage17_controlled_rebuild/src/model_fd.py; simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml","regularize_and_scale_heat_source; shift_source_in_depth; CaseConfig","shift_m = source_shift_per_mm_insertion * insertion_depth_mm * 1e-3; source_shift_per_mm_insertion = 0.25","mm shift per mm insertion","The smoothed source field is translated downward in depth before normalization and scaling.","AMBIGUOUS","In the current code the shift depends on absolute insertion depth, not insertion depth relative to reference_insertion_mm."
"cooling_surrogate_convection_scaling_with_insertion_depth","FOUND","contact_h_reduction_per_mm; min_contact_h_scale; max_contact_h_scale; h_top","simulation/stage17_controlled_rebuild/src/model_fd.py; simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml","top_h_profile; CaseConfig","scale = clip(1.0 - contact_h_reduction_per_mm * (insertion_depth_mm - reference_insertion_mm), min_contact_h_scale, max_contact_h_scale); contact_h_reduction_per_mm = 0.35; min_contact_h_scale = 0.50; max_contact_h_scale = 1.40","Scale is dimensionless; gain is mm^-1","Deeper insertion reduces the footprint convection coefficient, clipped between minimum and maximum scales.","AMBIGUOUS","Only the electrode footprint is modified. The manuscript prose names h_min, but the full numeric set is not recoverable cleanly from the extracted text."
"temperature_limited_controller_logic","FOUND","GenericTempLimitedController.compute_power","simulation/stage17_controlled_rebuild/src/controller.py; simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml","GenericTempLimitedController","if T <= target: upper; elif T >= ceiling: lower; else: clip(requested_power_W - ramp_down_gain_W_per_C * (T - target), lower, upper)","W","The current controller is a piecewise linear ramp-down controller between target and ceiling.","NO","This is the current active stage17 controller when run scripts use controller_selected_stage17.yaml. Legacy controller YAML files remain in the repo but are not the canonical stage17 path."
"controller_sensor_temperature_definition","FOUND","_surface_adjacent_temperature_C","simulation/stage17_controlled_rebuild/src/model_fd.py","_surface_adjacent_temperature_C","row = 1 if T.shape[0] >= 2 else 0; measured value is T[row, :].max()","°C","The controller reads the maximum temperature on the first interior depth row across the full lateral domain.","NO","The manuscript says surface-adjacent temperature surrogate but does not state that the current implementation uses a row-wise maximum."
"controller_target_temperature","FOUND","target_temperature_C","simulation/stage17_controlled_rebuild/src/controller.py; simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml","GenericTempLimitedController; ControllerConfig","70.0","°C","Controller target temperature.","YES","Current selected stage17 controller value."
"controller_ceiling_temperature","FOUND","ceiling_temperature_C","simulation/stage17_controlled_rebuild/src/controller.py; simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml","GenericTempLimitedController; ControllerConfig","80.0","°C","Controller ceiling temperature.","YES","Current selected stage17 controller value."
"controller_update_interval","FOUND","sample_period_s","simulation/stage17_controlled_rebuild/src/controller.py; simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","ControllerConfig; _controller_interval_steps","0.05","s","Controller update period.","YES","With the current production dt_s = 0.05, the control interval equals one solver step."
"controller_power_hold_logic","FOUND","controller_interval_steps; applied_power_W","simulation/stage17_controlled_rebuild/src/model_fd.py","_controller_interval_steps; _run_case_core","if step % controller_interval_steps == 0: recompute; otherwise retain previous applied_power_W","steps / s","The previous power command is held until the next controller update.","YES","The hold logic is real in code, but at the current production settings it holds for exactly one time step because sample_period_s == dt_s."
"controller_power_saturation_limits","FOUND","max_power_W; min_power_W; upper; lower","simulation/stage17_controlled_rebuild/src/controller.py; simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml","GenericTempLimitedController.compute_power","max_power_W = 90.0; min_power_W = 15.0; lower = min(min_power_W, upper)","W","The controller is clipped to a maximum of 90 W and a minimum of 15 W in the current selected config.","NO","The manuscript does not explicitly state the power bounds used by the current controller."
"controller_ramp_down_gain","FOUND","ramp_down_gain_W_per_C","simulation/stage17_controlled_rebuild/src/controller.py; simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml","GenericTempLimitedController; ControllerConfig","6.0","W °C^-1","Slope of the linear power reduction between target and ceiling.","NO","This current implementation detail is not stated explicitly in the manuscript."
"applied_power_to_2d_source_mapping","FOUND","power_per_depth_scale_W_per_m_per_W; total_per_depth; q; q_step","simulation/stage17_controlled_rebuild/src/model_fd.py; simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml","regularize_and_scale_heat_source; _run_case_core; CaseConfig","q = power_per_depth_scale_W_per_m_per_W * power_W * contact_scale * q_reg / total_per_depth; power_per_depth_scale_W_per_m_per_W = 6.8; controlled runs use q_step = q_nominal * (applied_power_W / requested_power_W)","Source-amplitude coefficient is W m^-1 per applied W","Applied power scales a normalized planar source template; controller action rescales the nominal source by the applied/requested power ratio.","NO","The current code path is recoverable, but the manuscript does not explicitly close the 2D dimensional interpretation at this level."
"model_coordinate_system_planar_vs_axisymmetric","FOUND","x; y; make_grid","simulation/stage17_controlled_rebuild/src/model_fd.py","make_grid","x = linspace(-width/2, width/2, nx); y = linspace(0, domain_depth, ny)","N/A","The current implementation is planar Cartesian 2D cross-section, not axisymmetric.","NO","No radial or axisymmetric terms were found in the current electrical or thermal assembly."
