"status","stage","entry_name","script_path","config_path","protocol_name","expected_input_files","expected_output_files","run_command","candidate_files","notes"
"CURRENT","stage17_controlled_rebuild","canonical four-way workflow","simulation/stage17_controlled_rebuild/run_all.sh","configs/baseline_90W_4s_4mm.yaml; configs/protocols_stage17_fourway.yaml; configs/phase_prep_stage17_fourway.yaml; configs/wall_scan_stage17.yaml; configs/cooling_scan_stage17.yaml; configs/contact_scan_stage17.yaml; configs/controller_selected_stage17.yaml; configs/latency_enabled.yaml; configs/convergence.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s_fixed; vhpsd_90W_4s_controlled","simulation/stage17_controlled_rebuild/src/run_case.py; src/run_protocol_scan.py; src/run_wall_protocol_scan.py; src/run_cooling_protocol_scan.py; src/run_contact_scan.py; src/run_convergence.py; src/run_phase_prep.py; listed YAML configs","outputs/baseline_stage17_fixed/{case_fields.png,summary.yaml}; outputs/baseline_stage17_controlled/{case_fields.png,summary.yaml}; outputs/protocol_scan_stage17_fourway/{protocol_summary.csv,protocol_comparison.png}; outputs/wall_protocol_scan_stage17_fourway/{wall_protocol_summary.csv,wall_transmurality_map.png,wall_vs_depth.png,wall_vs_depth_fraction.png}; outputs/cooling_protocol_scan_stage17_fourway/{cooling_protocol_summary.csv,cooling_vs_depth.png,cooling_vs_peakT.png}; outputs/contact_protocol_scan_stage17_fourway/{contact_protocol_summary.csv,contact_transmurality_map.png,contact_vs_depth.png,contact_vs_peakT.png}; outputs/convergence_stage17_controlled/{grid_convergence.csv,dt_convergence.csv,grid_convergence_depth.png,dt_convergence_depth.png}; outputs/phase_prep_stage17_fourway/{phase_prep_summary.csv,phase_prep_overview.csv,*_depth_fraction_heatmap.png,*_transmural_heatmap.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage17_controlled_rebuild && bash run_all.sh","simulation/stage17_controlled_rebuild/outputs/wall_scan_stage17_fourway; simulation/stage17_controlled_rebuild/outputs/cooling_scan_stage17_fourway; simulation/stage17_controlled_rebuild/outputs/contact_scan_stage17_fourway","Expected outputs are taken from the current wrapper script. Actual on-disk folders use scan-style names for wall/cooling/contact and did not include baseline_stage17_fixed or baseline_stage17_controlled in the checked output inventory."
"CURRENT","stage17_controlled_rebuild","phase-prep only","simulation/stage17_controlled_rebuild/run_phase_prep.sh","configs/baseline_90W_4s_4mm.yaml; configs/protocols_stage17_fourway.yaml; configs/phase_prep_stage17_fourway.yaml; configs/controller_selected_stage17.yaml; configs/latency_enabled.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s_fixed; vhpsd_90W_4s_controlled","simulation/stage17_controlled_rebuild/src/run_phase_prep.py; listed YAML configs","outputs/phase_prep_stage17_fourway/{phase_prep_summary.csv,phase_prep_overview.csv,*_depth_fraction_heatmap.png,*_transmural_heatmap.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage17_controlled_rebuild && bash run_phase_prep.sh","","Current single-family sweep wrapper."
"CURRENT","stage17_controlled_rebuild","fixed 90W/4s smoke case","simulation/stage17_controlled_rebuild/run_fixed_smoke.sh","configs/baseline_90W_4s_4mm.yaml; configs/latency_enabled.yaml","vhpsd_90W_4s_fixed","simulation/stage17_controlled_rebuild/src/run_case.py; configs/baseline_90W_4s_4mm.yaml; configs/latency_enabled.yaml","outputs/smoke_fixed_stage17/{case_fields.png,summary.yaml}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage17_controlled_rebuild && bash run_fixed_smoke.sh","","Current smoke test for fixed comparator."
"CURRENT","stage17_controlled_rebuild","temperature-limited 90W/4s smoke case","simulation/stage17_controlled_rebuild/run_controlled_smoke.sh","configs/baseline_90W_4s_4mm.yaml; configs/controller_selected_stage17.yaml; configs/latency_enabled.yaml","vhpsd_90W_4s_controlled","simulation/stage17_controlled_rebuild/src/run_case.py; configs/baseline_90W_4s_4mm.yaml; configs/controller_selected_stage17.yaml; configs/latency_enabled.yaml","outputs/smoke_controlled_stage17/{case_fields.png,summary.yaml}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage17_controlled_rebuild && bash run_controlled_smoke.sh","","Current smoke test for controlled comparator."
"LEGACY","stage17_controlled_rebuild","stage17 UQ fast wrapper","simulation/stage17_controlled_rebuild/run_uq_fast.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/uq_fast.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage17_controlled_rebuild/src/run_uq_maps.py; listed YAML configs","outputs/uq_fast/{uq_samples.csv,uq_summary.csv,uq_overview.csv,*_transmural_probability.png,*_overheat_probability.png,*_depth_fraction_p50.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage17_controlled_rebuild && bash run_uq_fast.sh","","Wrapper exists in stage17, but current docs say stage16 remains the authoritative UQ baseline."
"LEGACY","stage17_controlled_rebuild","stage17 UQ paper wrapper","simulation/stage17_controlled_rebuild/run_uq_paper.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/uq_paper.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage17_controlled_rebuild/src/run_uq_maps.py; listed YAML configs","outputs/uq_paper/{uq_samples.csv,uq_summary.csv,uq_overview.csv,*_transmural_probability.png,*_overheat_probability.png,*_depth_fraction_p50.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage17_controlled_rebuild && bash run_uq_paper.sh","","Wrapper exists in stage17, but current docs say stage16 remains the authoritative UQ baseline."
"CURRENT","stage17_controlled_rebuild","baseline stage17 alias wrapper","simulation/stage17_controlled_rebuild/run_baseline_stage17.sh","NOT FOUND","NOT FOUND","simulation/stage17_controlled_rebuild/run_all.sh","Same outputs as simulation/stage17_controlled_rebuild/run_all.sh","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage17_controlled_rebuild && bash run_baseline_stage17.sh","simulation/stage17_controlled_rebuild/run_all.sh","Thin alias wrapper; script just executes run_all.sh."
"LEGACY","stage16_uq_metrics_ready","frozen deterministic workflow","simulation/stage16_uq_metrics_ready/run_all.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/wall_scan.yaml; configs/cooling_scan.yaml; configs/contact_scan.yaml; configs/convergence.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage16_uq_metrics_ready/src/run_case.py; src/run_protocol_scan.py; src/run_wall_protocol_scan.py; src/run_cooling_protocol_scan.py; src/run_contact_scan.py; src/run_convergence.py; listed YAML configs","outputs/baseline_50W_10s_4mm/{case_fields.png,summary.yaml}; outputs/protocol_scan/{protocol_summary.csv,protocol_comparison.png}; outputs/wall_protocol_scan/{wall_protocol_summary.csv,wall_transmurality_map.png,wall_vs_depth.png,wall_vs_depth_fraction.png}; outputs/cooling_protocol_scan/{cooling_protocol_summary.csv,cooling_vs_depth.png,cooling_vs_peakT.png}; outputs/contact_protocol_scan/{contact_protocol_summary.csv,contact_transmurality_map.png,contact_vs_depth.png,contact_vs_peakT.png}; outputs/convergence/{grid_convergence.csv,dt_convergence.csv,grid_convergence_depth.png,dt_convergence_depth.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage16_uq_metrics_ready && bash run_all.sh","","Frozen three-protocol baseline, not the current deterministic manuscript line."
"LEGACY","stage16_uq_metrics_ready","phase-prep sweep","simulation/stage16_uq_metrics_ready/run_phase_prep.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/phase_prep.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage16_uq_metrics_ready/src/run_phase_prep.py; listed YAML configs","outputs/phase_prep/{phase_prep_summary.csv,phase_prep_overview.csv,*_depth_fraction_heatmap.png,*_transmural_heatmap.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage16_uq_metrics_ready && bash run_phase_prep.sh","","Frozen three-protocol phase-prep family."
"LEGACY","stage16_uq_metrics_ready","UQ fast sweep","simulation/stage16_uq_metrics_ready/run_uq_fast.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/uq_fast.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage16_uq_metrics_ready/src/run_uq_maps.py; listed YAML configs","outputs/uq_fast/{uq_samples.csv,uq_summary.csv,uq_overview.csv,*_transmural_probability.png,*_overheat_probability.png,*_depth_fraction_p50.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage16_uq_metrics_ready && bash run_uq_fast.sh","","Legacy fast-UQ family."
"LEGACY","stage16_uq_metrics_ready","UQ paper sweep","simulation/stage16_uq_metrics_ready/run_uq_paper.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/uq_paper.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage16_uq_metrics_ready/src/run_uq_maps.py; listed YAML configs","outputs/uq_paper/{uq_samples.csv,uq_summary.csv,uq_overview.csv,*_transmural_probability.png,*_overheat_probability.png,*_depth_fraction_p50.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage16_uq_metrics_ready && bash run_uq_paper.sh","","Frozen three-protocol paper-UQ family still referenced by some revision-asset scripts."
"LEGACY","stage3_uq_maps","three-protocol workflow","simulation/stage3_uq_maps/run_all.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/wall_scan.yaml; configs/cooling_scan.yaml; configs/contact_scan.yaml; configs/convergence.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage3_uq_maps/src/run_case.py; src/run_protocol_scan.py; src/run_wall_protocol_scan.py; src/run_cooling_protocol_scan.py; src/run_contact_scan.py; src/run_convergence.py; listed YAML configs","outputs/baseline_50W_10s_4mm/{case_fields.png,summary.yaml}; outputs/protocol_scan/{protocol_summary.csv,protocol_comparison.png}; outputs/wall_protocol_scan/{wall_protocol_summary.csv,wall_transmurality_map.png,wall_vs_depth.png,wall_vs_depth_fraction.png}; outputs/cooling_protocol_scan/{cooling_protocol_summary.csv,cooling_vs_depth.png,cooling_vs_peakT.png}; outputs/contact_protocol_scan/{contact_protocol_summary.csv,contact_transmurality_map.png,contact_vs_depth.png,contact_vs_peakT.png}; outputs/convergence/{grid_convergence.csv,dt_convergence.csv,grid_convergence_depth.png,dt_convergence_depth.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage3_uq_maps && bash run_all.sh","","Legacy three-protocol UQ-map workflow."
"LEGACY","stage3_uq_maps","phase-prep sweep","simulation/stage3_uq_maps/run_phase_prep.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/phase_prep.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage3_uq_maps/src/run_phase_prep.py; listed YAML configs","outputs/phase_prep/{phase_prep_summary.csv,phase_prep_overview.csv,*_depth_fraction_heatmap.png,*_transmural_heatmap.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage3_uq_maps && bash run_phase_prep.sh","","Legacy three-protocol phase-prep family."
"LEGACY","stage3_uq_maps","UQ fast sweep","simulation/stage3_uq_maps/run_uq_fast.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/uq_fast.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage3_uq_maps/src/run_uq_maps.py; listed YAML configs","outputs/uq_fast/{uq_samples.csv,uq_summary.csv,uq_overview.csv,*_transmural_probability.png,*_overheat_probability.png,*_depth_fraction_p50.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage3_uq_maps && bash run_uq_fast.sh","","Legacy UQ fast family."
"LEGACY","stage3_uq_maps","UQ paper sweep","simulation/stage3_uq_maps/run_uq_paper.sh","configs/baseline_50W_10s_4mm.yaml; configs/protocols.yaml; configs/uq_paper.yaml","standard_30W_30s; hpsd_50W_10s; vhpsd_90W_4s","simulation/stage3_uq_maps/src/run_uq_maps.py; listed YAML configs","outputs/uq_paper/{uq_samples.csv,uq_summary.csv,uq_overview.csv,*_transmural_probability.png,*_overheat_probability.png,*_depth_fraction_p50.png}","cd /Users/lulingfeng/Projects/cardiac_rfa/simulation/stage3_uq_maps && bash run_uq_paper.sh","","Output folder is inferable from wrapper even if not currently populated in checked outputs."
