manuscript_figure,manifest_id,legacy_packaged_file,current_stage17_candidate,status,current_candidate_exists,caption_vs_file_mismatch,notes
Figure 1,fig1_model_workflow,papers/V13/CMBBE_figure_upload/Figure1.png,analysis/stage17_methodology_figs/example_outputs/fig1_stage17_geometry_workflow.png,CURRENT,YES,"Legacy wording and legacy file naming refer to blood pool, perfusion, and probability outputs; current stage17 figure shows no explicit blood subdomain, perfusion fixed at zero, and includes controller plus latency.","Use stage17 figure as source-of-truth. Keep packaged Figure1.png only as a legacy reference until explicit refresh."
Figure 2,fig2_representative_fields,papers/V13/CMBBE_figure_upload/Figure2.png,NOT FOUND,UNRESOLVED,NO,"No stage17-native Figure 2 generator was located, so no current caption-to-file lock can be made without guessing.","Leave legacy packaged Figure2.png in place and mark Figure 2 unresolved."
Figure 3,fig3_deterministic_summary,papers/V13/CMBBE_figure_upload/Figure3.png,analysis/stage17_methodology_figs/example_outputs/fig_stage17_deterministic_fourway.png,CURRENT,YES,"Legacy packaged Figure 3 and manifest naming point to fig3_deterministic_summary, but the current manuscript line is a four-way stage17 comparator figure with a different base name and panel semantics.","Use stage17 four-way deterministic output as source-of-truth. Keep packaged Figure3.png only as a legacy reference until explicit refresh."
Figure 4,fig4_verification,papers/V13/CMBBE_figure_upload/Figure4.png,analysis/stage17_methodology_figs/example_outputs/fig4_stage17_verification.png,CURRENT,YES,"Legacy packaged Figure 4 predates the current stage17-native verification generator; current stage17 Figure 4 reads checked convergence CSVs directly and recomputes relative errors from exported raw metrics.","Use stage17 verification output as source-of-truth. Keep packaged Figure4.png only as a legacy reference until explicit refresh."
Figure 5,fig5_transmural_probability_maps,papers/V13/CMBBE_figure_upload/Figure5.png,analysis/stage17_methodology_figs/example_outputs/fig5_depth_fraction_fixed_vs_controlled.png,CURRENT,YES,"Legacy packaged Figure 5 is named and described as a transmural-probability map; current stage17 figure is a deterministic fixed-vs-controlled depth-fraction map.","Use stage17 depth-fraction map as source-of-truth. Keep packaged Figure5.png only as a legacy reference until explicit refresh."
Figure 6,fig6_overheat_probability_maps,papers/V13/CMBBE_figure_upload/Figure6.png,analysis/stage17_methodology_figs/example_outputs/fig6_peak_temperature_fixed_vs_controlled.png,CURRENT,YES,"Legacy packaged Figure 6 is named and described as an overheat-probability map; current stage17 figure is a deterministic fixed-vs-controlled peak-temperature map.","Use stage17 peak-temperature map as source-of-truth. Keep packaged Figure6.png only as a legacy reference until explicit refresh."
Figure 7,fig7_tradeoff_depthrisk,papers/V13/CMBBE_figure_upload/Figure7.png,analysis/stage17_methodology_figs/example_outputs/fig7_controlled_minus_fixed_maps.png,CURRENT,YES,"Legacy packaged Figure 7 is named and described as a trade-off scatter; current stage17 figure is a controlled-minus-fixed difference-map figure.","Use stage17 difference maps as source-of-truth. Keep packaged Figure7.png only as a legacy reference until explicit refresh."
Figure 8,fig8_literature_benchmark,papers/V13/CMBBE_figure_upload/Figure8.png,NOT APPLICABLE,LEGACY_REFERENCE,NOT APPLICABLE,"No stage17 migration is defined for Figure 8 in this lock step.","Retain the current benchmark chain outside stage17 authority; see manuscript/scripts/make_fig8_final.py."
Figure S1,figS1_depth_fraction_p50_maps,manuscript/submission_package/supp_png_preview/figS1_depth_fraction_p50_maps.png,NOT APPLICABLE,LEGACY_REFERENCE,NOT APPLICABLE,"Supplementary figure intentionally remains a legacy reference output.","No stage17 replacement designated."
Figure S2,figS2_tradeoff_ptrans_pover,manuscript/submission_package/supp_png_preview/figS2_tradeoff_ptrans_pover.png,NOT APPLICABLE,LEGACY_REFERENCE,NOT APPLICABLE,"Supplementary figure intentionally remains a legacy reference output.","No stage17 replacement designated."
